id,title,authors,abstract,url
11,Neurogenesis in Caenorhabditis elegans,"Richard J Poole  1 , ; Nuria Flames  2 , ; Luisa Cochella  3; ; ; ; ","Abstract
Animals rely on their nervous systems to process sensory inputs, integrate these with internal signals, and produce behavioral outputs. This is enabled by the highly specialized morphologies and functions of neurons. Neuronal cells share multiple structural and physiological features, but they also come in a large diversity of types or classes that give the nervous system its broad range of functions and plasticity. This diversity, first recognized over a century ago, spurred classification efforts based on morphology, function, and molecular criteria. Caenorhabditis elegans, with its precisely mapped nervous system at the anatomical level, an extensive molecular description of most of its neurons, and its genetic amenability, has been a prime model for understanding how neurons develop and diversify at a mechanistic level. Here, we review the gene regulatory mechanisms driving neurogenesis and the diversification of neuron classes and subclasses in C. elegans. We discuss our current understanding of the specification of neuronal progenitors and their differentiation in terms of the transcription factors involved and ensuing changes in gene expression and chromatin landscape. The central theme that has emerged is that the identity of a neuron is defined by modules of gene batteries that are under control of parallel yet interconnected regulatory mechanisms. We focus on how, to achieve these terminal identities, cells integrate information along their developmental lineages. Moreover, we discuss how neurons are diversified postembryonically in a time-, genetic sex-, and activity-dependent manner. Finally, we discuss how the understanding of neuronal development can provide insights into the evolution of neuronal diversity.
Keywords: Caenorhabditis elegans; WormBook; gene regulation; neurodevelopment; neurogenesis; transcription factors.",https://pubmed.ncbi.nlm.nih.gov/39167071/
12,Neuropeptide signaling network of Caenorhabditis elegans: from structure to behavior,"Jan Watteyne  1 , ; Aleksandra Chudinova  1 , ; Lidia Ripoll-Sánchez  2   3 , ; William R Schafer  1   2 , ; Isabel Beets  1; ; ; ; ; ; ","Abstract
Neuropeptides are abundant signaling molecules that control neuronal activity and behavior in all animals. Owing in part to its well-defined and compact nervous system, Caenorhabditis elegans has been one of the primary model organisms used to investigate how neuropeptide signaling networks are organized and how these neurochemicals regulate behavior. We here review recent work that has expanded our understanding of the neuropeptidergic signaling network in C. elegans by mapping the evolutionary conservation, the molecular expression, the receptor-ligand interactions, and the system-wide organization of neuropeptide pathways in the C. elegans nervous system. We also describe general insights into neuropeptidergic circuit motifs and the spatiotemporal range of peptidergic transmission that have emerged from in vivo studies on neuropeptide signaling. With efforts ongoing to chart peptide signaling networks in other organisms, the C. elegans neuropeptidergic connectome can serve as a prototype to further understand the organization and the signaling dynamics of these networks at organismal level.
Keywords: Caenorhabditis elegans; behavior; neuromodulation; neuropeptide signaling network; peptide GPCRs.",https://pubmed.ncbi.nlm.nih.gov/39344922/
13,Functional analysis of conserved C. elegans bHLH family members uncovers lifespan control by a peptidergic hub neuron,"G Robert Aguilar  1 , ; Berta Vidal  1 , ; Hongzhu Ji  1 , ; Joke Evenblij  1   2 , ; Hongfei Ji  3 , ; Giulio Valperga  1 , ; Chien-Po Liao  1 , ; Christopher Fang-Yen  3 , ; Oliver Hobert  1; ; ; ; ; ; ; ; ; ; ","Abstract
Throughout the animal kingdom, several members of the basic helix-loop-helix (bHLH) family act as proneural genes during early steps of nervous system development. Roles of bHLH genes in specifying terminal differentiation of postmitotic neurons have been less extensively studied. We analyze here the function of five C. elegans bHLH genes, falling into three phylogenetically conserved subfamilies, which are continuously expressed in a very small number of postmitotic neurons in the central nervous system. We show (a) that two orthologs of the vertebrate bHLHb4/b5 genes, called hlh-17 and hlh-32, function redundantly to specify the identity of a single head interneuron (AUA), as well as an individual motor neuron (VB2), (b) that the PTF1a ortholog hlh-13 acts as a terminal selector to control terminal differentiation and function of the sole octopaminergic neuron class in C. elegans, RIC, and (c) that the NHLH1/2 ortholog hlh-15 controls terminal differentiation and function of the peptidergic AVK head interneuron class, a known neuropeptidergic signaling hub in the animal. Strikingly, through null mutant analysis and cell-specific rescue experiments, we find that loss of hlh-15/NHLH in the peptidergic AVK neurons and the resulting abrogation of neuropeptide secretion causes a substantially expanded lifespan of the animal, revealing an unanticipated impact of a central, peptidergic hub neuron in regulating lifespan, which we propose to be akin to hypothalamic control of lifespan in vertebrates. Taken together, our functional analysis reveals themes of bHLH gene function during terminal differentiation that are complementary to the earlier lineage specification roles of other bHLH family members. However, such late functions are much more sparsely employed by members of the bHLH transcription factor family, compared to the function of the much more broadly employed homeodomain transcription factor family.",https://pubmed.ncbi.nlm.nih.gov/39071424/
14,Detecting gene expression in Caenorhabditis elegans,"John A Calarco  1 , ; Seth R Taylor  2 , ; David M Miller 3rd  3   4; ; ; ; ","Abstract
Reliable methods for detecting and analyzing gene expression are necessary tools for understanding development and investigating biological responses to genetic and environmental perturbation. With its fully sequenced genome, invariant cell lineage, transparent body, wiring diagram, detailed anatomy, and wide array of genetic tools, Caenorhabditis elegans is an exceptionally useful model organism for linking gene expression to cellular phenotypes. The development of new techniques in recent years has greatly expanded our ability to detect gene expression at high resolution. Here, we provide an overview of gene expression methods for C. elegans, including techniques for detecting transcripts and proteins in situ, bulk RNA sequencing of whole worms and specific tissues and cells, single-cell RNA sequencing, and high-throughput proteomics. We discuss important considerations for choosing among these techniques and provide an overview of publicly available online resources for gene expression data.
Keywords: FISH; RNA sequencing; WormBook; gene expression; live-cell reporters; single-cell RNA sequencing.",https://pubmed.ncbi.nlm.nih.gov/39693264/
15,Maintenance of neuronal identity in C. elegans and beyond: Lessons from transcription and chromatin factors,"Honorine Destain  1 , ; Manasa Prahlad  2 , ; Paschalis Kratsios  3; ; ; ; ","Abstract
Neurons are remarkably long-lived, non-dividing cells that must maintain their functional features (e.g., electrical properties, chemical signaling) for extended periods of time - decades in humans. How neurons accomplish this incredible feat is poorly understood. Here, we review recent advances, primarily in the nematode C. elegans, that have enhanced our understanding of the molecular mechanisms that enable post-mitotic neurons to maintain their functionality across different life stages. We begin with ""terminal selectors"" - transcription factors necessary for the establishment and maintenance of neuronal identity. We highlight new findings on five terminal selectors (CHE-1 [Glass], UNC-3 [Collier/Ebf1-4], LIN-39 [Scr/Dfd/Hox4-5], UNC-86 [Acj6/Brn3a-c], AST-1 [Etv1/ER81]) from different transcription factor families (ZNF, COE, HOX, POU, ETS). We compare the functions of these factors in specific neuron types of C. elegans with the actions of their orthologs in other invertebrate (D. melanogaster) and vertebrate (M. musculus) systems, highlighting remarkable functional conservation. Finally, we reflect on recent findings implicating chromatin-modifying proteins, such as histone methyltransferases and Polycomb proteins, in the control of neuronal terminal identity. Altogether, these new studies on transcription factors and chromatin modifiers not only shed light on the fundamental problem of neuronal identity maintenance, but also outline mechanistic principles of gene regulation that may operate in other long-lived, post-mitotic cell types.
Keywords: C. elegans; Chromatin-modifying proteins; D. melanogaster; Maintenance; Mus musculus; Neuronal identity; Terminal selectors; Transcription factors.",https://pubmed.ncbi.nlm.nih.gov/37438210/
16,RLS-associated MEIS transcription factors control distinct processes in human neural stem cells,"Volker Kittke #  1   2   3 , ; Chen Zhao #  4   5 , ; Daniel D Lam  4   5   6 , ; Philip Harrer  4   5 , ; Wojciech Krezel  7 , ; Barbara Schormair  8   9   10 , ; Konrad Oexle  11   12 , ; Juliane Winkelmann  13   14   15   16; ; ; ; ; ; ; ; ; ","Abstract
MEIS1 and MEIS2 encode highly conserved homeodomain transcription factors crucial for developmental processes in a wide range of tissues, including the brain. They can execute redundant functions when co-expressed in the same cell types, but their roles during early stages of neural differentiation have not been systematically compared. By separate knockout and overexpression of MEIS1 and MEIS2 in human neural stem cells, we find they control specific sets of target genes, associated with distinct biological processes. Integration of DNA binding sites with differential transcriptomics implicates MEIS1 to co-regulate gene expression by interaction with transcription factors of the SOX and FOX families. MEIS1 harbors the strongest risk factor for restless legs syndrome (RLS). Our data suggest that MEIS1 can directly regulate the RLS-associated genes NTNG1, MDGA1 and DACH1, constituting new approaches to study the elusive pathomechanism or RLS.",https://pubmed.ncbi.nlm.nih.gov/39578497/
17,"Functions of nuclear factor Y in nervous system development, function and health","Pedro Moreira  1 , ; Roger Pocock; ; ; ","Abstract
Nuclear factor Y is a ubiquitous heterotrimeric transcription factor complex conserved across eukaryotes that binds to CCAAT boxes, one of the most common motifs found in gene promoters and enhancers. Over the last 30 years, research has revealed that the nuclear factor Y complex controls many aspects of brain development, including differentiation, axon guidance, homeostasis, disease, and most recently regeneration. However, a complete understanding of transcriptional regulatory networks, including how the nuclear factor Y complex binds to specific CCAAT boxes to perform its function remains elusive. In this review, we explore the nuclear factor Y complex's role and mode of action during brain development, as well as how genomic technologies may expand understanding of this key regulator of gene expression.",https://pubmed.ncbi.nlm.nih.gov/39610092/
18,RNAi-dependent expression of sperm genes in ADL chemosensory neurons is required for olfactory responses in Caenorhabditis elegans,"Maria C Ow  1 , ; Mailyn A Nishiguchi  1 , ; Abdul Rouf Dar  2 , ; Rebecca A Butcher  2 , ; Sarah E Hall  1; ; ; ; ; ; ","Abstract
Environmental conditions experienced early in the life of an animal can result in gene expression changes later in its life history. We have previously shown that C. elegans animals that experienced the developmentally arrested and stress resistant dauer stage (postdauers) retain a cellular memory of early-life stress that manifests during adulthood as genome-wide changes in gene expression, chromatin states, and altered life history traits. One consequence of developmental reprogramming in C. elegans postdauer adults is the downregulation of osm-9 TRPV channel gene expression in the ADL chemosensory neurons resulting in reduced avoidance to a pheromone component, ascr#3. This altered response to ascr#3 requires the principal effector of the somatic nuclear RNAi pathway, the Argonaute (AGO) NRDE-3. To investigate the role of the somatic nuclear RNAi pathway in regulating the developmental reprogramming of ADL due to early-life stress, we profiled the mRNA transcriptome of control and postdauer ADL in wild-type and nrde-3 mutant adults. We found 711 differentially expressed (DE) genes between control and postdauer ADL neurons, 90% of which are dependent upon NRDE-3. Additionally, we identified a conserved sequence that is enriched in the upstream regulatory sequences of the NRDE-3-dependent differentially expressed genes. Surprisingly, 214 of the ADL DE genes are considered ""germline-expressed"", including 21 genes encoding the Major Sperm Proteins and two genes encoding the sperm-specific PP1 phosphatases, GSP-3 and GSP-4. Loss of function mutations in gsp-3 resulted in both aberrant avoidance and attraction behaviors. We also show that an AGO pseudogene, Y49F6A.1 (wago-11), is expressed in ADL and is required for ascr#3 avoidance. Overall, our results suggest that small RNAs and reproductive genes program the ADL mRNA transcriptome during their developmental history and highlight a nexus between neuronal and reproductive networks in calibrating animal neuroplasticity.
Keywords: ADL; C. elegans; NRDE-3; dauer; gsp-3; major sperm protein; postdauer.",https://pubmed.ncbi.nlm.nih.gov/39055986/
19,A molecular atlas of adult C. elegans motor neurons reveals ancient diversity delineated by conserved transcription factor codes,"Jayson J Smith  1 , ; Seth R Taylor  2 , ; Jacob A Blum  3 , ; Weidong Feng  1 , ; Rebecca Collings  4 , ; Aaron D Gitler  3 , ; David M Miller 3rd  5 , ; Paschalis Kratsios  6; ; ; ; ; ; ; ; ; ","Abstract
Motor neurons (MNs) constitute an ancient cell type targeted by multiple adult-onset diseases. It is therefore important to define the molecular makeup of adult MNs in animal models and extract organizing principles. Here, we generate a comprehensive molecular atlas of adult Caenorhabditis elegans MNs and a searchable database. Single-cell RNA sequencing of 13,200 cells reveals that ventral nerve cord MNs cluster into 29 molecularly distinct subclasses. Extending C. elegans Neuronal Gene Expression Map and Network (CeNGEN) findings, all MN subclasses are delineated by distinct expression codes of either neuropeptide or transcription factor gene families. Strikingly, combinatorial codes of homeodomain transcription factor genes succinctly delineate adult MN diversity in both C. elegans and mice. Further, molecularly defined MN subclasses in C. elegans display distinct patterns of connectivity. Hence, our study couples the connectivity map of the C. elegans motor circuit with a molecular atlas of its constituent MNs and uncovers organizing principles and conserved molecular codes of adult MN diversity.
Keywords: C. elegans; CP: Neuroscience; molecular diversity; motor neurons; mouse; neuropeptides; single-cell RNA sequencing; transcription factors.",https://pubmed.ncbi.nlm.nih.gov/38421866/
20,CFI-1 functions unilaterally to restrict gap junction formation in C. elegans,"Zan Wu  1   2 , ; Lin Pang  1   2 , ; Mei Ding  1   2; ; ; ; ","Abstract
Electrical coupling is vital to neural communication, facilitating synchronized activity among neurons. Despite its significance, the precise mechanisms governing the establishment of gap junction connections between specific neurons remain elusive. Here, we identified that the PVC interneuron in Caenorhabditis elegans forms gap junction connections with the PVR interneuron. The transcriptional regulator CFI-1 (ARID3) is specifically expressed in the PVC but not PVR interneuron. Reducing cfi-1 expression in the PVC interneuron leads to enhanced gap junction formation in the PVR neuron, while ectopic expression of cfi-1 in the PVR neuron restores the proper level of gap junction connections in the PVC neuron, along with the normal touch response. These findings unveil the pivotal role of CFI-1 in bidirectionally regulating the formation of gap junctions within a specific neuronal pair, shedding light on the intricate molecular mechanisms governing neuronal connectivity in vivo.
Keywords: C. elegans; CFI-1/ARID3; Gap junction; Neural circuitry; Transcription factor.",https://pubmed.ncbi.nlm.nih.gov/39679967/
21,A multi-omic single-cell landscape of cellular diversification in the developing human cerebral cortex,"Yuhan Tian  1 , ; Xia Wu  1 , ; Songhao Luo  2 , ; Dan Xiong  1 , ; Rong Liu  1 , ; Lanqi Hu  1 , ; Yuchen Yuan  1 , ; Guowei Shi  1 , ; Junjie Yao  1 , ; Zhiwei Huang  2 , ; Fang Fu  3 , ; Xin Yang  3 , ; Zhonghui Tang  1 , ; Jiajun Zhang  2 , ; Kunhua Hu  4   5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ","Abstract
The vast neuronal diversity in the human neocortex is vital for high-order brain functions, necessitating elucidation of the regulatory mechanisms underlying such unparalleled diversity. However, recent studies have yet to comprehensively reveal the diversity of neurons and the molecular logic of neocortical origin in humans at single-cell resolution through profiling transcriptomic or epigenomic landscapes, owing to the application of unimodal data alone to depict exceedingly heterogeneous populations of neurons. In this study, we generated a comprehensive compendium of the developing human neocortex by simultaneously profiling gene expression and open chromatin from the same cell. We computationally reconstructed the differentiation trajectories of excitatory projection neurons of cortical origin and inferred the regulatory logic governing lineage bifurcation decisions for neuronal diversification. We demonstrated that neuronal diversity arises from progenitor cell lineage specificity and postmitotic differentiation at distinct stages. Our data paves the way for understanding the primarily coordinated regulatory logic for neuronal diversification in the neocortex.
Keywords: Differentiation trajectory; Excitatory projection neuron; Regulatory logic; Single-cell multi-omics technique.",https://pubmed.ncbi.nlm.nih.gov/38827229/
